id,longitud,latitud,demanda
1605,-56.20561,-34.90374,1130
1606,-56.2047,-34.90306,900
1607,-56.204403,-34.90364,1297
1608,-56.204395,-34.903656,1297
1609,-56.202415,-34.907585,998
1610,-56.20241,-34.9076,998
1611,-56.201023,-34.90721,664
1612,-56.202812,-34.908733,975
1613,-56.2028,-34.908714,975
1614,-56.20312,-34.90444,1270
1615,-56.203133,-34.90443,1270
1616,-56.203346,-34.904037,1490
1617,-56.203003,-34.903084,811
1618,-56.202393,-34.90287,821
1619,-56.1996,-34.90225,671
1620,-56.199493,-34.90329,1672
1621,-56.199398,-34.90422,1975
1622,-56.199398,-34.904243,1975
1623,-56.199326,-34.90493,1490
1624,-56.19932,-34.904953,1490
1625,-56.200504,-34.904285,1473
1626,-56.200516,-34.904263,1473
1627,-56.200527,-34.90424,1473
1628,-56.20101,-34.903263,1013
1629,-56.19736,-34.901913,1149
1630,-56.19723,-34.90324,2526
1631,-56.197227,-34.903255,2526
1632,-56.19718,-34.90365,2473
1633,-56.19718,-34.903664,2473
1634,-56.197124,-34.904217,2614
1635,-56.197124,-34.90424,2614
1636,-56.197216,-34.90489,2449
1637,-56.197216,-34.9049,2449
1638,-56.197144,-34.905537,2882
1639,-56.197105,-34.905945,2853
1640,-56.197105,-34.90596,2853
1641,-56.198242,-34.9058,2315
1642,-56.19818,-34.904945,2139
1643,-56.198185,-34.90492,2139
1644,-56.198246,-34.904366,2247
1645,-56.198303,-34.90377,2413
1646,-56.198303,-34.90376,2413
1647,-56.198395,-34.902855,1563
1648,-56.198395,-34.902843,1563
1649,-56.198627,-34.902267,1000
1650,-56.19863,-34.90226,1000
1651,-56.201122,-34.905525,1098
1652,-56.201416,-34.904823,1179
1653,-56.20202,-34.90337,911
1654,-56.199074,-34.90866,2569
1655,-56.199055,-34.908897,3074
1656,-56.19896,-34.90977,2763
1657,-56.19759,-34.91058,2380
1658,-56.197594,-34.91057,2380
1659,-56.197674,-34.909763,3668
1660,-56.19788,-34.909355,3888
1661,-56.197884,-34.909336,3888
1662,-56.197964,-34.908566,3348
1663,-56.197964,-34.908546,3348
1664,-56.197865,-34.908062,3556
1665,-56.197865,-34.908043,3556
1666,-56.19809,-34.907486,2714
1667,-56.198124,-34.90708,2718
1668,-56.198143,-34.906925,2264
1669,-56.198143,-34.906906,2264
1670,-56.198147,-34.90689,2264
1671,-56.197113,-34.911064,2380
1672,-56.19708,-34.911057,2380
1673,-56.20017,-34.91041,1632
1674,-56.199978,-34.909023,1684
1675,-56.199974,-34.909008,1684
1676,-56.199135,-34.90819,2569
1677,-56.199135,-34.908207,2569
1678,-56.19913,-34.908226,2569
1679,-56.199394,-34.908447,2693
1680,-56.199196,-34.910397,2370
1681,-56.198643,-34.91014,2370
1682,-56.196987,-34.907143,3056
1683,-56.196987,-34.907158,3056
1684,-56.196766,-34.90758,3179
1685,-56.196766,-34.907593,3179
1686,-56.196728,-34.908092,3319
1687,-56.19669,-34.90835,3319
1688,-56.19669,-34.908367,3453
1689,-56.196823,-34.908684,3197
1690,-56.196823,-34.90869,3197
1691,-56.196724,-34.90957,3424
1692,-56.196724,-34.909588,3424
1693,-56.19669,-34.909805,3408
1694,-56.196636,-34.910267,3139
1695,-56.196373,-34.911324,1805
1696,-56.19636,-34.911377,1483
1697,-56.19636,-34.911396,1483
1698,-56.19425,-34.911583,1989
1699,-56.19425,-34.91161,1989
1700,-56.194244,-34.911636,1989
1701,-56.195244,-34.911407,2152
1702,-56.195244,-34.911396,2152
1703,-56.195244,-34.911373,2152
1704,-56.195435,-34.909554,3281
1705,-56.195618,-34.909203,3092
1706,-56.195618,-34.909187,3092
1707,-56.195538,-34.908546,3215
1708,-56.195538,-34.908535,3215
